path,filename,extension,size_bytes,modified_date,guessed_content_type
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_09.html,15_9_19_A_1997_10_09.html,.html,16956,2026-09-11T23:08:43.121740,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_10.html,15_9_19_A_1997_10_10.html,.html,14328,2026-09-11T23:08:46.106813,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_11.html,15_9_19_A_1997_10_11.html,.html,15670,2026-09-11T23:08:49.357287,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_12.html,15_9_19_A_1997_10_12.html,.html,14345,2026-09-11T23:08:52.501787,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_13.html,15_9_19_A_1997_10_13.html,.html,15553,2026-09-11T23:08:55.938760,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_14.html,15_9_19_A_1997_10_14.html,.html,14818,2026-09-11T23:08:59.155736,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_15.html,15_9_19_A_1997_10_15.html,.html,15746,2026-09-11T23:09:02.770336,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_16.html,15_9_19_A_1997_10_16.html,.html,14977,2026-09-11T23:09:06.295973,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_17.html,15_9_19_A_1997_10_17.html,.html,16195,2026-09-11T23:09:09.864367,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_18.html,15_9_19_A_1997_10_18.html,.html,15238,2026-09-11T23:09:13.310213,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_19.html,15_9_19_A_1997_10_19.html,.html,14627,2026-09-11T23:09:16.923001,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_20.html,15_9_19_A_1997_10_20.html,.html,15274,2026-09-11T23:09:20.225564,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_21.html,15_9_19_A_1997_10_21.html,.html,16076,2026-09-11T23:09:23.389160,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_22.html,15_9_19_A_1997_10_22.html,.html,16318,2026-09-11T23:09:26.811485,text/html
